project,Identity & access infrastructure,Communication channels,Knowledge infrastructure,Distribution metadata
AdaptiveCpp,0.5,1.0,0.33,0.5
Arraymancer,0.0,1.0,0.33,0.5
Cirq,0.5,1.0,0.67,0.5
FluidX3D,0.0,1.0,0.33,0.5
GPUMD,0.0,1.0,0.33,0.5
Grassmann.jl,0.0,1.0,0.33,1.0
Kratos,0.5,1.0,0.33,0.5
NNPACK,0.0,1.0,0.0,0.0
OpenFermion,0.5,0.0,0.67,1.0
ProjectQ,0.0,1.0,0.67,0.5
QPanda-2,0.5,1.0,0.67,0.5
Qrisp,0.0,1.0,0.33,0.5
Qualtran,0.5,1.0,0.67,1.0
QuantumToolbox.jl,0.5,1.0,0.67,0.5
Quirk,0.5,0.0,0.33,0.5
ReCirq,0.5,0.0,0.67,0.5
ScaffCC,0.0,0.0,0.33,0.5
Stim,0.5,0.0,0.67,0.5
Trilinos,0.5,1.0,0.67,1.0
Yao.jl,0.0,1.0,0.33,1.0
amazon-braket-sdk-python,0.5,1.0,0.67,0.5
amgcl,0.0,1.0,0.33,0.5
amrex,0.5,1.0,0.67,0.5
blis,0.5,1.0,0.33,0.5
blueqatSDK,0.0,1.0,0.33,0.5
catalyst,0.5,1.0,0.33,1.0
chapel,0.5,0.0,0.33,0.5
covalent,0.5,1.0,0.67,0.5
cuda-oxide,0.5,1.0,0.67,0.5
cuda-quantum,0.0,1.0,0.67,0.5
dace,0.5,1.0,0.33,0.5
dealii,0.5,0.0,0.67,1.0
drake,0.5,1.0,0.33,0.5
dwave-ocean-sdk,0.0,0.0,0.33,0.5
elmerfem,0.5,0.0,0.33,0.5
envpool,0.5,1.0,0.33,0.5
faasm,0.0,1.0,0.33,0.5
geant4,0.0,0.0,0.33,1.0
grove,0.0,1.0,0.33,0.5
hdf5,0.5,1.0,0.67,0.5
hermit-rs,0.0,1.0,0.33,0.5
horovod,1.0,1.0,1.0,0.5
hypre,0.5,1.0,0.33,0.5
kernel,0.0,1.0,0.33,1.0
kokkos,0.5,1.0,1.0,1.0
mfem,0.5,0.0,0.33,1.0
mpi4py,0.0,1.0,0.33,1.0
mpich,0.0,1.0,0.33,0.5
neanderthal,0.0,0.0,0.33,0.0
ohpc,0.5,0.0,0.33,0.5
ompi,0.5,0.0,0.0,0.0
openmc,0.5,1.0,0.33,1.0
openqasm,0.5,1.0,0.33,0.5
pennylane-qiskit,0.0,1.0,0.67,0.5
pennylane,0.5,1.0,0.33,0.5
precice,0.5,0.0,0.67,0.5
prometeo,0.0,1.0,0.0,0.0
pyquil,0.5,1.0,0.67,0.5
pyzx,0.0,0.0,0.67,0.5
qdk,0.5,1.0,0.67,0.5
qibo,0.0,1.0,0.33,0.5
qiskit-aer,0.5,1.0,0.33,0.5
qiskit-ibm-runtime,0.5,1.0,0.67,0.5
qiskit-machine-learning,0.5,1.0,0.67,0.5
qiskit,0.5,1.0,0.67,0.5
qmasm,0.0,1.0,0.33,0.5
qpp,0.5,0.0,0.33,0.5
qsim,0.5,0.0,0.67,1.0
quantum,0.5,0.0,0.67,0.5
quimb,0.5,1.0,0.33,0.5
qulacs,0.5,0.0,0.33,0.5
qutip-qip,0.5,1.0,0.67,0.5
qutip,0.5,1.0,0.33,0.5
rose,0.0,1.0,0.33,0.5
rsmpi,0.0,1.0,0.67,0.5
rustworkx,0.5,1.0,0.67,0.5
silq,0.0,0.0,0.0,0.0
spack,0.5,1.0,1.0,1.0
sse2neon,0.5,1.0,0.33,0.5
sundials,0.5,1.0,0.67,0.5
targets,0.5,1.0,0.33,0.5
taskflow,0.0,1.0,0.33,0.5
thread-pool,0.0,0.0,0.67,1.0
toqito,0.0,1.0,0.33,0.5
torchquantum,0.0,1.0,0.33,0.5
ucx,0.5,1.0,0.33,0.5
zfp,0.5,1.0,1.0,1.0
